Day of Week,Admissions,Percentage
Monday,90,16.2%
Tuesday,102,18.3%
Wednesday,75,13.5%
Thursday,74,13.3%
Friday,86,15.4%
Saturday,62,11.1%
Sunday,68,12.2%
